Column,DataType,Expression
Store ID,Integer,
Store Name,String,
City,String,
State,String,
Region,String,
Store Type,String,
Rank,Integer,
Class Sales Year 1,Integer,
Class Sales,Integer,
Class Change Yr 1 to Yr 2,Integer,
Brand A Yr 1,Integer,
Brand A Yr 2,Integer,
Brand A Change Yr 1 to Yr 2,Integer,
Brand A Share Yr 1,Integer,
Brand A Share Yr 2,Integer,
Brand A Share Change Yr 1 to Yr 2,Integer,
Sales Person ID,Integer,
Territory,Integer,
Promotions,Integer,
zip3,Integer,
X,Real,
Y,Real,
ZipGroup3Digit,Integer,
Variance from Territory,Real,
To Call,String,
Market Segments,String,
BCG segmentation,String,
